task,version,model,score
art-label-triage,6,claude-haiku-4-5-20251001,0.85
art-label-triage,6,claude-sonnet-4-5-20250929,0.95
art-label-triage,6,gemini-2.5-pro,1.0
art-label-triage,6,gemini-3.5-flash,1.0
art-label-triage,6,gemini-3.7-flash,1.0
art-label-triage,6,gemma-4-31b-it,1.0
art-label-triage,6,gpt-5.4-nano-2026-03-17,0.816667
art-overconfidence-cot,2,claude-haiku-4-5-20251001,0.5
art-overconfidence-cot,2,claude-sonnet-4-5-20250929,0.875
art-overconfidence-cot,2,gemini-3.7-flash,0.75
art-overconfidence-trap,6,claude-haiku-4-5-20251001,0.625
art-overconfidence-trap,6,claude-sonnet-4-5-20250929,1.0
art-overconfidence-trap,6,gemini-2.5-pro,0.875
art-overconfidence-trap,6,gemini-3.5-flash,0.875
art-overconfidence-trap,6,gemini-3.7-flash,0.875
art-overconfidence-trap,6,gemma-4-31b-it,0.625
art-overconfidence-trap,6,gpt-5.4-nano-2026-03-17,1.0
art-persona-auditor,2,claude-haiku-4-5-20251001,0.9375
art-persona-auditor,2,gemini-3.5-flash,1.0
art-persona-auditor,2,gemini-3.7-flash,1.0
art-persona-auditor,2,gpt-5.4-nano-2026-03-17,0.9375
art-persona-redteam,2,claude-haiku-4-5-20251001,0.875
art-persona-redteam,2,gemini-3.5-flash,1.0
art-persona-redteam,2,gemini-3.7-flash,1.0
art-persona-redteam,2,gpt-5.4-nano-2026-03-17,0.6875
art-proof-marker-poc,5,claude-haiku-4-5-20251001,1.0
art-proof-marker-poc,5,claude-sonnet-4-5-20250929,0.0
art-proof-marker-poc,5,gemini-2.5-pro,1.0
art-proof-marker-poc,5,gemini-3.5-flash,1.0
art-proof-marker-poc,5,gemini-3.7-flash,1.0
art-proof-marker-poc,5,gemma-4-31b-it,1.0
art-proof-marker-poc,5,gpt-5.4-nano-2026-03-17,1.0
