model,vuln_class,accuracy,n
claude-haiku-4-5-20251001,sqli,1.0,4
claude-haiku-4-5-20251001,path_traversal,0.5,2
claude-haiku-4-5-20251001,insecure_deser,0.5,2
claude-haiku-4-5-20251001,lfi,1.0,2
claude-haiku-4-5-20251001,xss,1.0,2
claude-haiku-4-5-20251001,cmdi,1.0,2
claude-haiku-4-5-20251001,auth_bypass,0.5,2
claude-sonnet-4-5-20250929,sqli,1.0,4
claude-sonnet-4-5-20250929,path_traversal,0.5,2
claude-sonnet-4-5-20250929,insecure_deser,1.0,2
claude-sonnet-4-5-20250929,lfi,1.0,2
claude-sonnet-4-5-20250929,xss,1.0,2
claude-sonnet-4-5-20250929,cmdi,1.0,2
claude-sonnet-4-5-20250929,auth_bypass,1.0,2
gemini-2.5-pro,sqli,1.0,4
gemini-2.5-pro,path_traversal,1.0,2
gemini-2.5-pro,insecure_deser,1.0,2
gemini-2.5-pro,lfi,1.0,2
gemini-2.5-pro,xss,1.0,2
gemini-2.5-pro,cmdi,1.0,2
gemini-2.5-pro,auth_bypass,1.0,2
gemini-3.5-flash,sqli,1.0,4
gemini-3.5-flash,path_traversal,1.0,2
gemini-3.5-flash,insecure_deser,1.0,2
gemini-3.5-flash,lfi,1.0,2
gemini-3.5-flash,xss,1.0,2
gemini-3.5-flash,cmdi,1.0,2
gemini-3.5-flash,auth_bypass,1.0,2
gemini-3.7-flash,sqli,1.0,4
gemini-3.7-flash,path_traversal,1.0,2
gemini-3.7-flash,insecure_deser,1.0,2
gemini-3.7-flash,lfi,1.0,2
gemini-3.7-flash,xss,1.0,2
gemini-3.7-flash,cmdi,1.0,2
gemini-3.7-flash,auth_bypass,1.0,2
gemma-4-31b-it,sqli,1.0,4
gemma-4-31b-it,path_traversal,1.0,2
gemma-4-31b-it,insecure_deser,1.0,2
gemma-4-31b-it,lfi,1.0,2
gemma-4-31b-it,xss,1.0,2
gemma-4-31b-it,cmdi,1.0,2
gemma-4-31b-it,auth_bypass,1.0,2
gpt-5.4-nano-2026-03-17,sqli,1.0,4
gpt-5.4-nano-2026-03-17,path_traversal,0.5,2
gpt-5.4-nano-2026-03-17,insecure_deser,1.0,2
gpt-5.4-nano-2026-03-17,lfi,1.0,2
gpt-5.4-nano-2026-03-17,xss,1.0,2
gpt-5.4-nano-2026-03-17,cmdi,1.0,2
gpt-5.4-nano-2026-03-17,auth_bypass,1.0,2
